coh_lambda,bpe_bpb,spec_bpb,bpb_delta_pct,bpe_tokens_sent,spec_tokens_sent,tokens_delta_pct,bpe_ppmi,spec_ppmi,ppmi_gain_pct,log_path
0.0,1.551572,1.535589,-1.0301165527606737,111.13,111.54,0.3689372806622959,1.4298,1.5013,5.000699398517283,pareto_sweep_v3/lam_0p00/run.log
0.05,1.551572,1.555467,0.2510357237691885,111.13,111.62,0.4409250427427347,1.4298,1.5039,5.182543013008822,pareto_sweep_v3/lam_0p05/run.log
0.1,1.551572,1.55709,0.35563931290329975,111.13,111.57,0.3959326914424466,1.4298,1.4987,4.818855784025744,pareto_sweep_v3/lam_0p10/run.log
0.15,1.551572,1.544823,-0.434978202751779,111.13,111.55,0.37793575092235354,1.4298,1.4967,4.678976080570707,pareto_sweep_v3/lam_0p15/run.log
0.2,1.551572,1.546926,-0.2994382471454671,111.13,111.58,0.4049311617025042,1.4298,1.4995,4.874807665407754,pareto_sweep_v3/lam_0p20/run.log
0.25,1.551572,1.541589,-0.6434119718582099,111.13,111.61,0.4319265724826771,1.4298,1.5008,4.965729472653524,pareto_sweep_v3/lam_0p25/run.log
