ppmi_gamma,bpe_bpb,spec_bpb,bpb_delta_pct,bpe_tokens_sent,spec_tokens_sent,tokens_delta_pct,bpe_ppmi,spec_ppmi,ppmi_gain_pct,log_path
0.0,1.551572,1.543293,-0.5335878708819131,111.13,111.08,-0.04499235130027701,1.4298,1.425,-0.3357112882920621,pareto_sweep_gamma/gamma_0p0/run.log
0.25,1.551572,1.543933,-0.4923393822523159,111.13,111.26,0.11698011338072689,1.4298,1.4696,2.783606098755076,pareto_sweep_gamma/gamma_0p25/run.log
0.5,1.551572,1.544823,-0.434978202751779,111.13,111.55,0.37793575092235354,1.4298,1.4967,4.678976080570707,pareto_sweep_gamma/gamma_0p5/run.log
0.75,1.551572,1.546976,-0.29621570897129246,111.13,112.12,0.890848555745527,1.4298,1.5318,7.133864876206464,pareto_sweep_gamma/gamma_0p75/run.log
1.0,1.551572,1.549102,-0.15919338580484554,111.13,113.16,1.82668946279132,1.4298,1.5948,11.540075535039861,pareto_sweep_gamma/gamma_1p0/run.log
1.25,1.551572,1.550014,-0.10041428950766651,111.13,113.98,2.5645640241159118,1.4298,1.6278,13.84809064204784,pareto_sweep_gamma/gamma_1p25/run.log
1.5,1.551572,1.551049,-0.033707749302003265,111.13,115.0,3.4824079906415895,1.4298,1.6971,18.6949223667646,pareto_sweep_gamma/gamma_1p5/run.log
